42025,570.0,=139.95*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-technic-42025-samolot-nowy-w-wa-i6638886839.html,http://www.ebay.co.uk/itm/272476413487
42029,515.0,=110.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-42029-ciezarowka-po-tuningu-nowy-i6634812984.html,http://www.ebay.co.uk/itm/371793592172
60014,522.0,=94.95*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/sklep-lego-city-60014-patrol-strazy-przybrzeznej-i6631080794.html,http://www.ebay.co.uk/itm/291958389604
70010,1199.0,=199.95*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-chima-70010-swiatynia-chi-swiatynia-lwa-laval-i6620356630.html,http://www.ebay.co.uk/itm/311745795045
70728,575.0,=124.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-ninjago-70728-i6563748494.html,http://www.ebay.co.uk/itm/262732919408
75060,854.0,=149.99*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-star-wars-75060-slave-i-sklep-warszawa-i6632871639.html,http://www.ebay.co.uk/itm/181987130068
79010,616.0,=92.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-79010-hobbit-bitwa-krol-goblinow-i6628688804.html,http://www.ebay.co.uk/itm/302158859986
79017,516.0,=126.2*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-hobbit-79017-bitwa-pieciu-armii-warszawa-i6638369866.html,http://www.ebay.co.uk/itm/201435348570
79014,506.0,=107.94*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-hobbit-79014-dol-guldur-battle-lublin-i5607348015.html,http://www.ebay.co.uk/itm/302145016682
79018,853.0,=174.99*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-79018-the-lonely-mountain-samotna-gora-warsza-i6630918140.html,http://www.ebay.co.uk/itm/311742631602
75140,541.0,=92.71*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-star-wars-transport-ruchu-oporu-75140-klock-i5948338524.html,http://www.ebay.co.uk/itm/252601102443
10214,900.0,=180.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-creator-10214-tower-bridge-nowy-i6632101704.html,http://www.ebay.co.uk/itm/232157515416
10217,1799.0,=415.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-harry-potter-10217-ulica-pokatna-diagon-alley-i6634425854.html,http://www.ebay.co.uk/itm/132025131871
10212,3618.0,=595.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-10212-imperial-shuttle-star-wars-ucs-nowy-i6632722434.html,http://www.ebay.co.uk/itm/192036254111
21128,829.0,=169.99*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-klocki-minecraft-nowe-21128-wioska-unikat-i6633280045.html,http://www.ebay.co.uk/itm/172422214226
21127,508.0,=92.0*$H$1,"=INDIRECT(ADDRESS(ROW(), COLUMN()-2, 4))-INDIRECT(ADDRESS(ROW(), COLUMN()-1, 4))",http://allegro.pl/lego-minecraft-21127-forteca-sklep-warszawa-i6632014231.html,http://www.ebay.co.uk/itm/351911262957
